'Elapsed time','ECG'
1.884,-0.662
1.888,-0.657
1.892,-0.657
1.896,-0.660
1.900,-0.665
1.904,-0.682
1.908,-0.675
1.912,-0.738
1.916,-0.723
1.920,-0.720
1.924,-0.703
1.928,-0.750
1.932,-0.733
1.936,-0.713
1.940,-0.695
1.944,-0.738
1.948,-0.740
1.952,-0.777
1.956,-0.797
1.960,-0.772
1.964,-0.765
1.968,-0.762
1.972,-0.752
1.976,-0.782
1.980,-0.775
1.984,-0.775
1.988,-0.838
1.992,-0.815
1.996,-0.810
2.000,-0.812
2.004,-0.833
2.008,-0.823
2.012,-0.835
2.016,-0.877
2.020,-0.882
2.024,-0.882
2.028,-0.877
2.032,-0.865
2.036,-0.835
2.040,-0.858
2.044,-0.860
2.048,-0.895
2.052,-0.882
2.056,-0.890
2.060,-0.875
2.064,-0.863
2.068,-0.858
2.072,-0.853
2.076,-0.900
2.080,-0.877
2.084,-0.895
2.088,-0.882
2.092,-0.882
2.096,-0.865
2.100,-0.870
2.104,-0.900
2.108,-0.850
2.112,-0.877
2.116,-0.882
2.120,-0.910
2.124,-0.920
2.128,-0.907
2.132,-0.865
2.136,-0.877
2.140,-0.875
2.144,-0.890
2.148,-0.907
2.152,-0.907
2.156,-0.915
2.160,-0.897
2.164,-0.912
2.168,-0.895
2.172,-0.902
2.176,-0.925
2.180,-0.910
2.184,-0.925
2.188,-0.935
2.192,-0.935
2.196,-0.910
2.200,-0.927
2.204,-0.925
2.208,-0.935
2.212,-0.948
2.216,-0.973
2.220,-0.988
2.224,-0.953
2.228,-0.983
2.232,-0.965
2.236,-0.975
2.240,-0.925
2.244,-0.988
2.248,-1.008
2.252,-1.000
2.256,-0.990
2.260,-0.970
2.264,-0.998
2.268,-0.985
2.272,-0.988
2.276,-1.000
2.280,-1.002
2.284,-1.000
2.288,-0.983
2.292,-1.012
2.296,-0.970
2.300,-0.953
2.304,-0.940
2.308,-0.985
2.312,-1.015
2.316,-1.020
2.320,-1.048
2.324,-1.028
2.328,-1.050
2.332,-1.010
2.336,-1.038
2.340,-1.077
2.344,-1.103
2.348,-1.127
2.352,-1.140
2.356,-1.175
2.360,-1.170
2.364,-1.145
2.368,-1.140
2.372,-1.150
2.376,-1.145
2.380,-1.165
2.384,-1.173
2.388,-1.175
2.392,-1.133
2.396,-1.137
2.400,-1.077
2.404,-1.012
2.408,-0.848
2.412,-0.637
2.416,-0.250
2.420,0.200
2.424,0.700
2.428,1.150
2.432,1.420
2.436,1.415
2.440,1.123
2.444,0.627
2.448,0.077
2.452,-0.438
2.456,-0.828
2.460,-1.120
2.464,-1.240
2.468,-1.290
2.472,-1.308
2.476,-1.300
2.480,-1.320
2.484,-1.365
2.488,-1.383
2.492,-1.385
2.496,-1.410
2.500,-1.440
2.504,-1.423
2.508,-1.452
2.512,-1.450
2.516,-1.458
2.520,-1.512
2.524,-1.488
2.528,-1.478
2.532,-1.472
2.536,-1.472
2.540,-1.460
2.544,-1.522
2.548,-1.508
2.552,-1.512
2.556,-1.485
2.560,-1.478
2.564,-1.482
2.568,-1.472
2.572,-1.440
2.576,-1.440
2.580,-1.475
2.584,-1.485
2.588,-1.510
2.592,-1.498
2.596,-1.475
2.600,-1.462
2.604,-1.450
2.608,-1.465
2.612,-1.462
2.616,-1.427
2.620,-1.438
2.624,-1.438
2.628,-1.433
2.632,-1.438
2.636,-1.395
2.640,-1.403
2.644,-1.407
2.648,-1.397
2.652,-1.413
2.656,-1.397
2.660,-1.400
2.664,-1.363
2.668,-1.340
2.672,-1.312
2.676,-1.335
2.680,-1.377
2.684,-1.327
2.688,-1.350
2.692,-1.315
2.696,-1.327
2.700,-1.285
2.704,-1.245
2.708,-1.282
2.712,-1.300
2.716,-1.285
2.720,-1.295
2.724,-1.288
2.728,-1.240
2.732,-1.258
2.736,-1.208
2.740,-1.208
2.744,-1.225
2.748,-1.235
2.752,-1.212
2.756,-1.200
2.760,-1.195
2.764,-1.115
2.768,-1.100
2.772,-1.052
2.776,-1.032
2.780,-1.025
2.784,-0.975
2.788,-0.960
2.792,-0.900
2.796,-0.900
2.800,-0.873
2.804,-0.863
2.808,-0.825
2.812,-0.873
2.816,-0.877
2.820,-0.858
2.824,-0.887
2.828,-0.860
2.832,-0.870
2.836,-0.858
2.840,-0.825
2.844,-0.882
2.848,-0.863
2.852,-0.870
2.856,-0.823
2.860,-0.828
2.864,-0.877
2.868,-0.860
2.872,-0.838
2.876,-0.825
2.880,-0.825
2.884,-0.848
2.888,-0.853
2.892,-0.825
2.896,-0.828
2.900,-0.790
2.904,-0.815
2.908,-0.790
2.912,-0.807
2.916,-0.825
2.920,-0.823
2.924,-0.797
2.928,-0.785
2.932,-0.775
2.936,-0.752
2.940,-0.775
2.944,-0.762
2.948,-0.750
2.952,-0.797
2.956,-0.815
2.960,-0.782
2.964,-0.790
2.968,-0.752
2.972,-0.757
2.976,-0.740
2.980,-0.762
2.984,-0.797
2.988,-0.775
2.992,-0.757
2.996,-0.762
3.000,-0.757
3.004,-0.720
3.008,-0.752
3.012,-0.748
3.016,-0.775
3.020,-0.772
3.024,-0.785
3.028,-0.735
3.032,-0.740
3.036,-0.713
3.040,-0.725
3.044,-0.745
3.048,-0.775
3.052,-0.762
3.056,-0.762
3.060,-0.760
3.064,-0.738
3.068,-0.738
3.072,-0.720
3.076,-0.762
3.080,-0.728
3.084,-0.757
3.088,-0.760
3.092,-0.745
3.096,-0.738
3.100,-0.733
3.104,-0.733
3.108,-0.690
3.112,-0.710
3.116,-0.715
3.120,-0.723
3.124,-0.688
3.128,-0.735
3.132,-0.720
3.136,-0.708
3.140,-0.700
3.144,-0.698
3.148,-0.715
3.152,-0.720
3.156,-0.713
3.160,-0.733
3.164,-0.713
3.168,-0.690
3.172,-0.698
3.176,-0.708
3.180,-0.690
3.184,-0.725
3.188,-0.703
3.192,-0.723
3.196,-0.715
3.200,-0.677
3.204,-0.688
3.208,-0.708
3.212,-0.703
3.216,-0.670
3.220,-0.723
3.224,-0.688
3.228,-0.710
3.232,-0.682
3.236,-0.635
3.240,-0.657
3.244,-0.682
3.248,-0.662
3.252,-0.695
3.256,-0.688
3.260,-0.660
3.264,-0.627
3.268,-0.623
3.272,-0.660
3.276,-0.632
3.280,-0.652
3.284,-0.625
3.288,-0.625
3.292,-0.670
3.296,-0.632
3.300,-0.637
3.304,-0.632
3.308,-0.625
3.312,-0.610
3.316,-0.623
3.320,-0.665
3.324,-0.635
3.328,-0.603
3.332,-0.588
3.336,-0.578
3.340,-0.557
3.344,-0.610
3.348,-0.578
3.352,-0.595
3.356,-0.560
3.360,-0.527
3.364,-0.500
3.368,-0.500
3.372,-0.512
3.376,-0.472
3.380,-0.487
3.384,-0.500
3.388,-0.465
3.392,-0.445
3.396,-0.450
3.400,-0.415
3.404,-0.422
3.408,-0.420
3.412,-0.410
3.416,-0.425
3.420,-0.422
3.424,-0.420
3.428,-0.453
3.432,-0.427
3.436,-0.410
3.440,-0.425
3.444,-0.465
3.448,-0.435
3.452,-0.415
3.456,-0.415
3.460,-0.390
3.464,-0.370
3.468,-0.338
3.472,-0.340
3.476,-0.328
3.480,-0.323
3.484,-0.338
3.488,-0.310
3.492,-0.282
3.496,-0.237
3.500,-0.122
3.504,0.037
3.508,0.278
3.512,0.613
3.516,1.045
3.520,1.470
3.524,1.972
3.528,2.288
3.532,2.395
3.536,2.145
3.540,1.660
3.544,1.065
3.548,0.475
3.552,-0.007
3.556,-0.250
3.560,-0.347
3.564,-0.378
3.568,-0.362
3.572,-0.328
3.576,-0.295
3.580,-0.333
3.584,-0.345
3.588,-0.388
3.592,-0.412
3.596,-0.410
3.600,-0.432
3.604,-0.427
3.608,-0.432
3.612,-0.435
3.616,-0.445
3.620,-0.435
3.624,-0.400
3.628,-0.458
3.632,-0.432
3.636,-0.403
3.640,-0.375
3.644,-0.440
3.648,-0.440
3.652,-0.448
3.656,-0.450
3.660,-0.445
3.664,-0.460
3.668,-0.453
3.672,-0.453
3.676,-0.445
3.680,-0.448
3.684,-0.458
3.688,-0.460
3.692,-0.465
3.696,-0.403
3.700,-0.425
3.704,-0.390
3.708,-0.400
3.712,-0.388
3.716,-0.425
3.720,-0.463
3.724,-0.450
3.728,-0.427
3.732,-0.422
3.736,-0.375
3.740,-0.390
3.744,-0.388
3.748,-0.410
3.752,-0.407
3.756,-0.435
3.760,-0.395
3.764,-0.388
3.768,-0.372
3.772,-0.362
3.776,-0.357
3.780,-0.385
3.784,-0.385
3.788,-0.403
3.792,-0.375
3.796,-0.370
3.800,-0.352
3.804,-0.362
3.808,-0.347
3.812,-0.360
3.816,-0.335
3.820,-0.390
3.824,-0.320
3.828,-0.325
3.832,-0.285
3.836,-0.263
3.840,-0.253
3.844,-0.225
3.848,-0.200
3.852,-0.177
3.856,-0.163
3.860,-0.125
3.864,-0.100
3.868,-0.085
3.872,-0.062
3.876,-0.060
3.880,-0.062
3.884,-0.095
3.888,-0.083
3.892,-0.075
3.896,-0.085
3.900,-0.090
3.904,-0.062
3.908,-0.077
3.912,-0.100
3.916,-0.087
3.920,-0.125
3.924,-0.107
3.928,-0.113
3.932,-0.070
3.936,-0.095
3.940,-0.102
3.944,-0.100
3.948,-0.113
3.952,-0.095
3.956,-0.122
3.960,-0.090
3.964,-0.077
3.968,-0.077
3.972,-0.087
3.976,-0.100
3.980,-0.098
3.984,-0.100
3.988,-0.125
3.992,-0.075
3.996,-0.075
4.000,-0.083
4.004,-0.072
4.008,-0.098
4.012,-0.090
4.016,-0.138
4.020,-0.140
4.024,-0.100
4.028,-0.115
4.032,-0.113
4.036,-0.110
4.040,-0.110
4.044,-0.125
4.048,-0.147
4.052,-0.147
4.056,-0.185
4.060,-0.163
4.064,-0.145
4.068,-0.113
4.072,-0.140
4.076,-0.140
4.080,-0.135
4.084,-0.182
4.088,-0.158
4.092,-0.165
4.096,-0.185
4.100,-0.150
4.104,-0.150
4.108,-0.158
4.112,-0.172
4.116,-0.188
4.120,-0.190
4.124,-0.182
4.128,-0.175
4.132,-0.185
4.136,-0.172
4.140,-0.133
4.144,-0.175
4.148,-0.160
4.152,-0.203
4.156,-0.185
4.160,-0.188
4.164,-0.145
4.168,-0.177
4.172,-0.140
4.176,-0.160
4.180,-0.182
4.184,-0.207
4.188,-0.172
4.192,-0.210
4.196,-0.212
4.200,-0.177
4.204,-0.158
4.208,-0.158
4.212,-0.210
4.216,-0.212
4.220,-0.212
4.224,-0.175
4.228,-0.182
4.232,-0.170
4.236,-0.138
4.240,-0.150
4.244,-0.177
4.248,-0.172
4.252,-0.165
4.256,-0.185
4.260,-0.185
4.264,-0.147
4.268,-0.140
4.272,-0.145
4.276,-0.122
4.280,-0.158
4.284,-0.188
4.288,-0.150
4.292,-0.163
4.296,-0.140
4.300,-0.135
4.304,-0.140
4.308,-0.140
4.312,-0.163
4.316,-0.175
4.320,-0.163
4.324,-0.163
4.328,-0.160
4.332,-0.138
4.336,-0.120
4.340,-0.095
4.344,-0.113
4.348,-0.125
4.352,-0.122
4.356,-0.102
4.360,-0.128
4.364,-0.110
4.368,-0.085
4.372,-0.087
4.376,-0.115
4.380,-0.125
4.384,-0.133
4.388,-0.083
4.392,-0.100
4.396,-0.077
4.400,-0.085
4.404,-0.035
4.408,-0.015
4.412,-0.028
4.416,-0.058
4.420,0.007
4.424,-0.028
4.428,0.007
4.432,0.013
4.436,0.028
4.440,0.015
4.444,0.015
4.448,0.028
4.452,0.000
4.456,0.022
4.460,0.015
4.464,0.035
4.468,0.013
4.472,-0.033
4.476,0.022
4.480,-0.048
4.484,-0.033
4.488,-0.058
4.492,-0.028
4.496,-0.022
4.500,0.020
4.504,0.007
4.508,0.015
4.512,0.025
4.516,0.035
4.520,0.022
4.524,0.033
4.528,0.062
4.532,0.102
4.536,0.095
4.540,0.147
4.544,0.133
4.548,0.260
4.552,0.385
4.556,0.625
4.560,0.983
4.564,1.482
4.568,1.970
4.572,2.410
4.576,2.565
4.580,2.498
4.584,2.070
4.588,1.522
4.592,0.897
4.596,0.458
4.600,0.140
4.604,-0.022
4.608,0.000
4.612,-0.035
4.616,-0.010
4.620,0.000
4.624,0.010
4.628,-0.015
4.632,0.003
4.636,-0.050
4.640,-0.050
4.644,-0.077
4.648,-0.110
4.652,-0.098
4.656,-0.100
4.660,-0.122
4.664,-0.115
4.668,-0.060
4.672,-0.113
4.676,-0.095
4.680,-0.110
4.684,-0.147
4.688,-0.128
4.692,-0.113
4.696,-0.115
4.700,-0.100
4.704,-0.102
4.708,-0.125
4.712,-0.140
4.716,-0.113
4.720,-0.150
4.724,-0.133
4.728,-0.107
4.732,-0.147
4.736,-0.098
4.740,-0.113
4.744,-0.120
4.748,-0.147
4.752,-0.150
4.756,-0.115
4.760,-0.147
4.764,-0.138
4.768,-0.113
4.772,-0.062
4.776,-0.095
4.780,-0.120
4.784,-0.135
4.788,-0.110
4.792,-0.115
4.796,-0.122
4.800,-0.115
4.804,-0.100
4.808,-0.113
4.812,-0.083
4.816,-0.120
4.820,-0.147
4.824,-0.120
4.828,-0.133
4.832,-0.125
4.836,-0.113
4.840,-0.122
4.844,-0.107
4.848,-0.150
4.852,-0.133
4.856,-0.147
4.860,-0.120
4.864,-0.128
4.868,-0.085
4.872,-0.083
4.876,-0.072
4.880,-0.085
4.884,-0.083
4.888,-0.120
4.892,-0.065
4.896,-0.020
4.900,0.000
4.904,0.052
4.908,0.110
4.912,0.077
4.916,0.095
4.920,0.048
4.924,0.077
4.928,0.113
4.932,0.152
4.936,0.150
4.940,0.170
4.944,0.175
4.948,0.138
4.952,0.135
4.956,0.107
4.960,0.140
4.964,0.113
4.968,0.140
4.972,0.122
4.976,0.133
4.980,0.102
4.984,0.065
4.988,0.052
4.992,0.072
4.996,0.090
5.000,0.098
5.004,0.100
5.008,0.085
5.012,0.070
5.016,0.095
5.020,0.048
5.024,0.045
5.028,0.090
5.032,0.058
5.036,0.077
5.040,0.098
5.044,0.052
5.048,0.060
5.052,0.050
5.056,0.028
5.060,0.040
5.064,0.040
5.068,0.050
5.072,0.077
5.076,0.060
5.080,0.050
5.084,-0.010
5.088,0.013
5.092,0.020
5.096,0.025
5.100,0.035
5.104,0.062
5.108,-0.015
5.112,-0.010
5.116,0.003
5.120,-0.040
5.124,-0.015
5.128,-0.033
5.132,0.007
5.136,-0.033
5.140,0.000
5.144,-0.060
5.148,-0.015
5.152,-0.022
5.156,-0.035
5.160,-0.048
5.164,-0.028
5.168,-0.015
5.172,-0.015
5.176,-0.022
5.180,-0.048
5.184,-0.062
5.188,-0.083
5.192,-0.070
5.196,-0.058
5.200,-0.045
5.204,-0.037
5.208,-0.045
5.212,-0.065
5.216,-0.077
5.220,-0.075
5.224,-0.083
5.228,-0.095
5.232,-0.050
5.236,-0.052
5.240,-0.040
5.244,-0.045
5.248,-0.062
5.252,-0.087
5.256,-0.062
5.260,-0.065
5.264,-0.037
5.268,-0.033
5.272,-0.028
5.276,-0.048
5.280,-0.087
5.284,-0.087
5.288,-0.075
5.292,-0.065
5.296,-0.115
5.300,-0.070
5.304,-0.040
5.308,-0.075
5.312,-0.087
5.316,-0.095
5.320,-0.125
5.324,-0.075
5.328,-0.113
5.332,-0.072
5.336,-0.060
5.340,-0.062
5.344,-0.060
5.348,-0.070
5.352,-0.120
5.356,-0.075
5.360,-0.102
5.364,-0.062
5.368,-0.075
5.372,-0.077
5.376,-0.095
5.380,-0.110
5.384,-0.075
5.388,-0.113
5.392,-0.098
5.396,-0.072
5.400,-0.060
5.404,-0.062
5.408,-0.050
5.412,-0.075
5.416,-0.050
5.420,-0.095
5.424,-0.083
5.428,-0.045
5.432,-0.033
5.436,-0.048
5.440,-0.062
5.444,-0.025
5.448,-0.045
5.452,-0.052
5.456,-0.025
5.460,-0.045
5.464,-0.007
5.468,0.022
5.472,0.015
5.476,0.022
5.480,0.022
5.484,0.015
5.488,0.010
5.492,0.035
5.496,0.025
5.500,0.035
5.504,0.062
5.508,0.090
5.512,0.022
5.516,0.045
5.520,-0.020
5.524,0.020
5.528,0.028
5.532,-0.015
5.536,0.007
5.540,0.000
5.544,0.000
5.548,-0.062
5.552,-0.015
5.556,-0.025
5.560,-0.015
5.564,0.022
5.568,0.037
5.572,0.040
5.576,0.052
5.580,0.070
5.584,0.058
5.588,0.095
5.592,0.120
5.596,0.237
5.600,0.445
5.604,0.752
5.608,1.200
5.612,1.637
5.616,2.170
5.620,2.400
5.624,2.320
5.628,1.927
5.632,1.350
5.636,0.765
5.640,0.323
5.644,-0.022
5.648,-0.110
5.652,-0.133
5.656,-0.083
5.660,-0.075
5.664,-0.022
5.668,-0.040
5.672,-0.050
5.676,-0.125
5.680,-0.113
5.684,-0.185
5.688,-0.152
5.692,-0.175
5.696,-0.158
5.700,-0.145
5.704,-0.158
5.708,-0.120
5.712,-0.188
5.716,-0.152
5.720,-0.188
5.724,-0.172
5.728,-0.220
5.732,-0.198
5.736,-0.177
5.740,-0.212
5.744,-0.210
5.748,-0.207
5.752,-0.228
5.756,-0.212
5.760,-0.210
5.764,-0.220
5.768,-0.203
5.772,-0.207
5.776,-0.203
5.780,-0.235
5.784,-0.215
5.788,-0.250
5.792,-0.212
5.796,-0.225
5.800,-0.195
5.804,-0.195
5.808,-0.200
5.812,-0.212
5.816,-0.207
5.820,-0.200
5.824,-0.245
5.828,-0.195
5.832,-0.220
5.836,-0.182
5.840,-0.190
5.844,-0.215
5.848,-0.228
5.852,-0.240
5.856,-0.203
5.860,-0.223
5.864,-0.182
5.868,-0.163
5.872,-0.200
5.876,-0.190
5.880,-0.237
5.884,-0.278
5.888,-0.245
5.892,-0.237
5.896,-0.215
5.900,-0.220
5.904,-0.210
5.908,-0.212
5.912,-0.237
5.916,-0.215
5.920,-0.240
5.924,-0.195
5.928,-0.172
5.932,-0.175
5.936,-0.125
5.940,-0.115
5.944,-0.128
5.948,-0.128
5.952,-0.085
5.956,-0.077
5.960,-0.020
5.964,0.010
5.968,0.028
5.972,0.052
5.976,0.028
5.980,0.007
5.984,0.022
5.988,0.013
5.992,0.025
5.996,0.010
6.000,0.000
6.004,0.003
6.008,-0.013
6.012,-0.010
6.016,-0.033
6.020,-0.050
6.024,-0.048
6.028,-0.058
6.032,-0.050
6.036,-0.072
6.040,-0.060
6.044,-0.033
6.048,-0.040
6.052,-0.083
6.056,-0.072
6.060,-0.083
6.064,-0.025
6.068,-0.033
6.072,-0.035
6.076,-0.035
6.080,-0.070
6.084,-0.062
6.088,-0.070
6.092,-0.062
6.096,-0.040
6.100,-0.062
6.104,-0.015
6.108,-0.013
6.112,-0.050
6.116,-0.048
6.120,-0.075
6.124,-0.077
6.128,-0.045
6.132,-0.050
6.136,-0.045
6.140,-0.072
6.144,-0.062
6.148,-0.107
6.152,-0.110
6.156,-0.113
6.160,-0.087
6.164,-0.122
6.168,-0.110
6.172,-0.090
6.176,-0.100
6.180,-0.122
6.184,-0.125
6.188,-0.122
6.192,-0.120
6.196,-0.150
6.200,-0.133
6.204,-0.090
6.208,-0.100
6.212,-0.140
6.216,-0.163
6.220,-0.138
6.224,-0.152
6.228,-0.158
6.232,-0.133
6.236,-0.083
6.240,-0.113
6.244,-0.140
6.248,-0.133
6.252,-0.165
6.256,-0.188
6.260,-0.150
6.264,-0.125
6.268,-0.122
6.272,-0.115
6.276,-0.135
6.280,-0.125
6.284,-0.175
